query_trait,ontology,term_id,term_label,term_definition
molt success rate (nymphal),OBA,OBA:0002011,micturition rate,The rate of a micturition.
molt success rate (nymphal),OBA,OBA:0002200,reflex rate,The rate of a reflex.
molt success rate (nymphal),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
molt success rate (nymphal),OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
molt success rate (nymphal),OBA,OBA:0003172,anagen rate,The rate of a anagen.
molt success rate (nymphal),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
molt success rate (nymphal),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
molt success rate (nymphal),PATO,PATO:0000912,increased rate,A rate which is relatively high.
molt success rate (nymphal),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
molt success rate (nymphal),PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
molting period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
molting period,OBA,GO:0042303,molting cycle,NA
molting period,OBA,GO:0022404,molting cycle process,NA
molting period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
molting period,OBA,PR:000050150,period circadian protein homolog,Category=family.
molting period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
molting period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
molting period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
molting period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
molting period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
molting period (larval),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
molting period (larval),OBA,GO:0042303,molting cycle,NA
molting period (larval),OBA,GO:0022404,molting cycle process,NA
molting period (larval),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
molting period (larval),OBA,PATO:0001185,larval,NA
molting period (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
molting period (larval),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
molting period (larval),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
molting period (larval),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
molting period (larval),PATO,PATO:0001187,pupal,A maturity quality inhering in a insect by virtue of the bearer's being in the chrysalis (cocoon) or post larval stage.
molting period (nymphal),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
molting period (nymphal),OBA,GO:0042303,molting cycle,NA
molting period (nymphal),OBA,GO:0022404,molting cycle process,NA
molting period (nymphal),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
molting period (nymphal),OBA,PR:000050150,period circadian protein homolog,Category=family.
molting period (nymphal),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
molting period (nymphal),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
molting period (nymphal),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
molting period (nymphal),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
molting period (nymphal),PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
molting ratio (larval),OBA,GO:0042303,molting cycle,NA
molting ratio (larval),OBA,GO:0022404,molting cycle process,NA
molting ratio (larval),OBA,OBA:2045389,leukocyte ratio,The ratio of a leukocyte.
molting ratio (larval),OBA,OBA:2045390,basophil ratio,The ratio of a basophil.
molting ratio (larval),OBA,OBA:2045391,eosinophil ratio,The ratio of a eosinophil.
molting ratio (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
molting ratio (larval),PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
molting ratio (larval),PATO,PATO:0040042,decreased ratio,Example: decreased proportion of CD4 T cells relative to total T cells.
molting ratio (larval),PATO,PATO:0040043,increased ratio,Example: increased proportion of CD4 T cells relative to total T cells.
molting ratio (larval),PATO,PATO:0040071,nuclear/cytoplasmic ratio,A quality inhering in a cell by virtue of the ratio between the volume of its nucleus and the volume of its cytoplasm.
molting ratio (nymphal),OBA,GO:0042303,molting cycle,NA
molting ratio (nymphal),OBA,GO:0022404,molting cycle process,NA
molting ratio (nymphal),OBA,OBA:2045389,leukocyte ratio,The ratio of a leukocyte.
molting ratio (nymphal),OBA,OBA:2045390,basophil ratio,The ratio of a basophil.
molting ratio (nymphal),OBA,OBA:2045391,eosinophil ratio,The ratio of a eosinophil.
molting ratio (nymphal),PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
molting ratio (nymphal),PATO,PATO:0040042,decreased ratio,Example: decreased proportion of CD4 T cells relative to total T cells.
molting ratio (nymphal),PATO,PATO:0040043,increased ratio,Example: increased proportion of CD4 T cells relative to total T cells.
molting ratio (nymphal),PATO,PATO:0040071,nuclear/cytoplasmic ratio,A quality inhering in a cell by virtue of the ratio between the volume of its nucleus and the volume of its cytoplasm.
molting ratio (nymphal),PATO,PATO:0040072,high nuclear/cytoplasmic ratio,A high nuclear/cytolasmic ratio is 70% or higher.
molting time,OBA,GO:0042303,molting cycle,NA
molting time,OBA,GO:0022404,molting cycle process,NA
molting time,OBA,PATO:0000165,time,NA
molting time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
molting time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
molting time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
molting time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
molting time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
molting time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
molting time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
mortality,OBA,OBA:2050757,level of mortality factor 4-like protein 1 in blood,The amount of a mortality factor 4-like protein 1 when measured in blood.
mortality,OBA,OBA:2050758,level of mortality factor 4-like protein 2 in blood,The amount of a mortality factor 4-like protein 2 when measured in blood.
mortality,OBA,OBA:2042401,level of mortality factor 4-like protein 1 in blood serum,The amount of a mortality factor 4-like protein 1 when measured in blood serum.
mortality,OBA,OBA:2042402,level of mortality factor 4-like protein 2 in blood serum,The amount of a mortality factor 4-like protein 2 when measured in blood serum.
mortality,OBA,OBA:2058865,level of mortality factor 4-like protein 2 (human) in cerebrospinal fluid,The amount of a mortality factor 4-like protein 2 (human) when measured in cerebrospinal fluid.
mortality (adult),OBA,OBA:2050757,level of mortality factor 4-like protein 1 in blood,The amount of a mortality factor 4-like protein 1 when measured in blood.
mortality (adult),OBA,OBA:2050758,level of mortality factor 4-like protein 2 in blood,The amount of a mortality factor 4-like protein 2 when measured in blood.
mortality (adult),OBA,OBA:2042401,level of mortality factor 4-like protein 1 in blood serum,The amount of a mortality factor 4-like protein 1 when measured in blood serum.
mortality (adult),OBA,OBA:2042402,level of mortality factor 4-like protein 2 in blood serum,The amount of a mortality factor 4-like protein 2 when measured in blood serum.
mortality (adult),OBA,OBA:1000037,adult organism mass,The mass of a adult organism.
mortality (adult),PATO,CL:0008017,adult skeletal muscle myoblast,"The vast majority of these cells develop from skeletal muscle satellite cells, although there are some reports of other origins."
